Point_ID,Annotation,Region,X,Y,Z
199,0,0,31724,34781,0
200,0,0,31679,34600,0
201,0,0,31656,34464,0
202,0,0,31633,34373,0
203,0,0,31588,34260,0
204,0,0,31543,34124,0
205,0,0,31520,33988,0
206,0,0,31475,33830,0
207,0,0,31475,33694,0
208,0,0,31475,33603,0
209,0,0,31475,33513,0
210,0,0,31475,33400,0
211,0,0,31475,33241,0
212,0,0,31497,33105,0
213,0,0,31497,32856,0
214,0,0,31497,32743,0
215,0,0,31497,32720,0
216,0,0,31497,32539,0
217,0,0,31497,32426,0
218,0,0,31520,32335,0
219,0,0,31520,32245,0
220,0,0,31543,32109,0
221,0,0,31543,32041,0
222,0,0,31565,31950,0
223,0,0,31565,31837,0
224,0,0,31565,31679,0
225,0,0,31588,31611,0
226,0,0,31611,31543,0
227,0,0,31656,31362,0
228,0,0,31679,31248,0
229,0,0,31724,31113,0
230,0,0,31746,30999,0
231,0,0,31814,30863,0
232,0,0,31837,30796,0
233,0,0,31837,30728,0
234,0,0,31882,30660,0
235,0,0,31928,30546,0
236,0,0,31950,30479,0
237,0,0,31950,30433,0
238,0,0,31973,30388,0
239,0,0,31996,30320,0
240,0,0,32064,30207,0
241,0,0,32131,30139,0
242,0,0,32245,29958,0
243,0,0,32245,29935,0
244,0,0,32245,29912,0
245,0,0,32245,29844,0
246,0,0,32267,29777,0
247,0,0,32313,29709,0
248,0,0,32335,29641,0
249,0,0,32358,29527,0
250,0,0,32403,29392,0
251,0,0,32448,29301,0
252,0,0,32471,29210,0
253,0,0,32494,29120,0
254,0,0,32539,29007,0
255,0,0,32584,28916,0
256,0,0,32607,28825,0
257,0,0,32652,28780,0
258,0,0,32675,28712,0
259,0,0,32720,28644,0
260,0,0,32788,28554,0
261,0,0,32879,28441,0
262,0,0,32947,28327,0
263,0,0,33060,28146,0
264,0,0,33105,28101,0
265,0,0,33196,27965,0
266,0,0,33286,27897,0
267,0,0,33377,27784,0
268,0,0,33467,27693,0
269,0,0,33581,27557,0
270,0,0,33671,27467,0
271,0,0,33807,27354,0
272,0,0,33875,27263,0
273,0,0,34011,27150,0
274,0,0,34079,27059,0
275,0,0,34147,27014,0
276,0,0,34192,26969,0
277,0,0,34283,26878,0
278,0,0,34418,26810,0
279,0,0,34509,26742,0
280,0,0,34645,26674,0
281,0,0,34735,26606,0
282,0,0,34871,26538,0
283,0,0,34985,26493,0
284,0,0,35098,26425,0
285,0,0,35188,26357,0
286,0,0,35324,26289,0
287,0,0,35415,26221,0
288,0,0,35505,26199,0
289,0,0,35551,26154,0
290,0,0,35619,26086,0
291,0,0,35732,26040,0
292,0,0,35868,25950,0
293,0,0,35958,25927,0
294,0,0,36071,25859,0
295,0,0,36207,25791,0
296,0,0,36298,25746,0
